Company Name,Industry / Specialization,Overview,Website,Careers Link,Expectations,Related Diploma(s),Resource
DBS Bank,Banking & Financial Services,"Leading financial services group in Asia headquartered in Singapore, operating across 19 markets spanning Greater China, Southeast Asia, and South Asia. Provides consumer, SME, and corporate banking alongside wealth management and investment services. Repeatedly named World's Best Bank (Global Finance, Euromoney) and World's Best Digital Bank, reflecting heavy investment in digital transformation - runs a structured Management Associate Programme and hires fresh graduates into technology, data, and digital banking tracks alongside traditional finance roles.",dbs.com,dbs.com/careers/default.page,"Digital/fintech literacy, data analysis, communication, customer-first mindset",Diploma in Applied AI & Analytics; Diploma in Cybersecurity & Digital Forensics; Diploma in Financial Technology,DBS Management Associate Programme - structured graduate rotational programme
Grab,Technology / Super-app,"Southeast Asia's leading superapp, headquartered in Singapore, spanning ride-hailing, food delivery (GrabFood), and digital financial services through its Grab Financial Group arm. Singapore serves as Grab's Global HQ and largest engineering hub, with major functions across product, data, and platform engineering based here. Known for a fast-paced, homegrown tech culture and structured internship pipelines for polytechnic and university students.",grab.com,grab.careers/en/jobs/,"Full-stack/mobile development, data analytics, fast execution in a fast-paced environment",Diploma in Business; Diploma in Human Resource Management with Psychology; Diploma in Applied AI & Analytics; Diploma in Information Technology; Diploma in Design,SkillsFuture - 'Explore a Career' industry-specific short courses
Shopee,E-commerce,"Leading e-commerce platform across Southeast Asia and Taiwan, part of the NYSE-listed Sea Limited group, with a major Singapore-based engineering and operations workforce at its Science Park Drive campus. Hires heavily into data analytics, business development, logistics/operations, and software engineering, with dedicated fresh-graduate tracks (e.g. Data Analyst and Business Intelligence roles specifically for new grads).",shopee.sg,careers.shopee.sg,"Data analytics, digital marketing, e-commerce operations familiarity",Diploma in Business; Diploma in Applied AI & Analytics,SkillsFuture - Supply Chain & Operations WSQ courses
GovTech,Public Sector / Technology,"Singapore's Government Technology Agency, driving the country's Smart Nation digital transformation with a workforce of 3,000+ GovTechies organised into five Capability Centres covering software engineering, cybersecurity, data engineering, design, and government ICT infrastructure. Runs dedicated early-career pathways including the Technology Associate Programme, Smart Nation Scholarship, and structured internships specifically for polytechnic and pre-tertiary students, not just university graduates.",tech.gov.sg,tech.gov.sg/careers/,"Coding fundamentals, problem-solving, a public-service mindset",Diploma in Applied AI & Analytics; Diploma in Information Technology,GovTech Technology Associate Programme / Smart Nation Scholarship
NCS,IT Services,"AI Tech Services company and subsidiary of the Singtel Group, with a 15,000-strong team across the Asia Pacific and over SGD 2.84 billion in revenue. Delivers technology consulting, systems integration, and digital transformation projects for government and enterprise clients. Runs three distinct graduate pathways - Nucleus (university grads), Fusion (polytechnic grads, including a sponsored degree option), and Ignite (ITE grads) - making it one of the more polytechnic-pathway-friendly major tech employers in Singapore.",ncs.co,ncs.co/en-sg/careers/,"Coding portfolio (GitHub), cloud fundamentals, teamwork on client projects",Diploma in Enterprise Cloud Computing & Management; Diploma in Information Technology,NCS Fusion Programme - sponsored-degree pathway built specifically for polytechnic graduates
Accenture,Consulting / Technology,"Global professional services company with leading capabilities in digital, cloud, and security consulting, serving clients across strategy, technology, and operations. Runs a dedicated Fresh Diploma Graduate Program specifically for polytechnic graduates entering software engineering roles, alongside the Accenture-SIT Apprenticeship (a work-study sponsored degree pathway developed with the Singapore Institute of Technology) and structured internships.",accenture.com,accenture.com/sg-en/careers,"Analytical thinking, adaptability, clear client communication",Diploma in Business Process & Engineering Management; Diploma in Information Technology,Accenture Fresh Diploma Graduate Program / Accenture-SIT Apprenticeship (work-study degree)
ST Engineering,Aerospace / Defence / Engineering,"Singapore-headquartered global technology, defence, and engineering group with operations spanning aerospace, smart city solutions, digital systems, and defence and public security segments, plus international operations including the United States. One of Singapore's largest engineering employers, offering structured graduate and internship pathways across its aerospace MRO, electronics, and land systems businesses.",stengg.com,stengg.com/en/careers/,"Technical precision, engineering fundamentals, discipline under regulation",Diploma in Defence & Security Management; Diploma in Business Process & Engineering Management; Diploma in Electrical & Electronic Engineering; Diploma in Mobility & Robotic Systems; Diploma in Enterprise Cloud Computing & Management,SkillsFuture - Engineering fundamentals WSQ courses
PSA International,Port & Logistics,"Global port operator and supply chain company, formerly the Port of Singapore Authority, now operating over 70 deepsea, rail, and inland terminals across more than 180 locations in 45 countries, with flagship operations in Singapore and Belgium. Runs a 2-year Global Management Associate Program with international rotations, plus internships, for graduates interested in port operations, supply chain, and terminal technology.",globalpsa.com,globalpsa.com/careers/,"Analytical thinking, ERP/SAP familiarity, an operations mindset",Diploma in Supply Chain Management,PSA Global Management Associate Program (GMAP) - 2-year programme with international rotations
Changi Airport Group,Aviation,"Corporatised in 2009 from the former Civil Aviation Authority of Singapore, CAG manages Singapore Changi Airport - consistently ranked among the world's best airports and home to Jewel Changi Airport. Runs structured internships and graduate programmes across airport operations, engineering, and commercial functions.",changiairport.com,changiairport.com/en/corporate/careers.html,"Attention to detail, service excellence, operational resilience",Diploma in Aviation Management,SkillsFuture - WSQ Service Excellence courses
Singapore Airlines,Aviation,"Singapore's flag carrier and one of the world's most awarded airlines, operating alongside its cargo arm (Singapore Airlines Cargo) and regional low-cost carrier subsidiary (Scoot). Hires across three broad career tracks - Cabin Crew, Pilots, and Ground Professionals (covering engineering, commercial, IT, and corporate functions) - with structured graduate and internship programmes feeding into all three.",singaporeair.com,careers.singaporeair.com/sia,"Communication, service mindset, precision under pressure",Diploma in Aviation Management,SkillsFuture - 'Explore a Career' industry-specific short courses
