School,Diploma,Skills Learned,Career Roles,Companies Hiring,Skills Employers Want,Resources
School of Applied Science,Common Science Programme,"Lab safety & technique, Scientific method & data analysis, General & organic chemistry, Molecular biology basics, Anatomy & physiology basics, Environmental science basics","Exploratory - leads into any SAS diploma (Chemistry, Bio, Biomed, Env & Marine, Pharma)","Givaudan, A*STAR, SGH, NEA, GSK, BASF, Roche Diagnostics, NParks, Lonza","Curiosity, Precision, Attention to detail, Analytical thinking, Willingness to explore, Lab discipline","RP SAS course guide, SkillsFuture 'Explore a Career' sessions"
School of Applied Science,Diploma in Applied Chemistry,"Analytical chemistry, Organic & inorganic chemistry, Formulation science & technology, Cosmetic product design & development, Forensic science, Quality assurance & data analytics","Lab Technician, QC Analyst, Formulation Chemist, Cosmetic Scientist","Givaudan, Wilmar, P&G, L'Oreal, Given Imaging, BASF, ExxonMobil, Sanofi, Lonza","Formulation science knowledge, attention to detail, analytical thinking, GMP knowledge, quality control testing, Formulation/food science knowledge","Royal Society of Chemistry (Singapore chapter), Coursera 'Analytical Chemistry'"
School of Applied Science,Diploma in Biological Sciences,"Molecular biology, Microbiology, Genetics, Anatomy & physiology, Food science & sustainable food innovation, Biotechnology & agritech applications","Research Assistant, Lab Technologist, Biotech Associate","A*STAR, Thermo Fisher Scientific, WuXi Biologics, Merck, Lonza, Novartis, Health Sciences Authority, National University Hospital, AbbVie","Aseptic technique, GMP knowledge, Lab discipline, basic scripting (R/Python), accurate lab record-keeping, regulatory awareness","A*STAR Research Attachment Programme, Coursera 'Genomic Data Science'"
School of Applied Science,Diploma in Biomedical Science,"Anatomy & physiology, Bioinformatics, Immunology, Genomics, Medical microbiology, Diagnostic pathology & clinical chemistry","Medical Lab Technologist, Clinical Research Associate","SGH, TTSH, Quest Diagnostics, Roche Diagnostics, KK Women's and Children's Hospital, National University Hospital, Health Sciences Authority, Lonza, Novartis","Lab discipline, Care coordination, empathy, communication with patients and families, accurate documentation, GMP/quality-assurance mindset","SGH/NHG internship programmes, HealthTech SkillsFuture courses"
School of Applied Science,Diploma in Environmental & Marine Science,"Earth & climate science, Terrestrial & marine ecology, Environmental data analysis, Environmental management, Sustainability reporting, Circular economy","Environmental Officer, Sustainability Analyst, Marine Research Assistant","NEA, PUB, Surbana Jurong, ST Marine, Maritime and Port Authority of Singapore, NParks, Seatrium, Mandai Wildlife Group, Land Transport Authority","project coordination, regulatory awareness, fieldwork discipline, Regulatory/compliance awareness, data analysis, public communication","NEA internship programme, Esri ArcGIS free training"
School of Applied Science,Diploma in Pharmaceutical Science,"Pharmacology, Pharmaceutics, Clinical pharmacy & patient care, Drug formulation, production & analysis, Current Good Manufacturing Practice (cGMP), Medication dispensing","Pharmacy Technician, QA Associate, Regulatory Affairs Assistant","GSK, Pfizer, Unity Pharmacy, Watsons, Sanofi, Novartis, Health Sciences Authority, AbbVie, Lonza","GMP knowledge, regulatory awareness, product knowledge, attention to detail, quality mindset, lab discipline","HSA guidance documents, PIC/S training materials"
School of Business,Common Business Programme,"Business fundamentals, Accounting basics, Marketing basics, Consumer behaviour basics, Communications basics, Business analytics basics",Exploratory - leads into any SBZ or SOH diploma,"DBS, Grab, NielsenIQ, Kantar, MINDEF, Sephora, Mediacorp, Ogilvy, Deloitte","Communication, Numeracy, Curiosity about business, Analytical thinking, Client communication, Adaptability",RP SBZ/SOH course guide
School of Business,Diploma in Business,"Accounting, marketing, entrepreneurship, business analytics","Business Analyst, Marketing Executive, Accounts Assistant","DBS, Grab, Shopee, PwC, Accenture, CapitaLand, Deloitte, KPMG, NTUC Enterprise","Analytical thinking, client communication, Full-stack/mobile development, data analytics, fast execution in a fast-paced environment, Data analytics","SkillsFuture business courses, LinkedIn Learning 'Business Foundations'"
School of Business,Diploma in Consumer Insights & Psychology,"Market research design, consumer behaviour analysis, survey methodology","Market Research Executive, Consumer Insights Analyst, UX Researcher","NielsenIQ, Kantar, Unilever, P&G, Sephora, Watsons, Grab, Shopee, L'Oreal","Data analysis, attention to detail, Customer service, product knowledge, retail operations familiarity, clear reporting of consumer insights","NielsenIQ internships, Qualtrics XM free training"
School of Business,Diploma in Defence & Security Management,"Security operations, risk management, defence systems fundamentals","Security Analyst, Operations Executive, Home Team roles","MINDEF, Home Team agencies, ST Engineering, Ensign InfoSecurity, Cyber Security Agency of Singapore, GovTech, DBS Bank, Accenture, NCS","Discipline, technical/engineering fundamentals, security awareness, teamwork under pressure, public-service mindset, Technical precision",MINDEF/HTX careers portal
School of Business,Diploma in Human Resource Management with Psychology,"HR processes, organisational psychology, recruitment & selection","HR Executive, Talent Acquisition Associate, L&D Coordinator","Grab, DBS, Sephora, NTUC Enterprise, Deloitte, KPMG, Accenture, Mediacorp, CapitaLand","Analytical thinking, client communication, Full-stack/mobile development, data analytics, fast execution in a fast-paced environment, Customer service","IHRP certification pathway, LinkedIn Learning HR courses"
School of Business,Diploma in Mass Communication,"Content writing, video production, social media strategy","Content Creator, PR Executive, Social Media Executive, Junior Journalist","Mediacorp, CNA, Ogilvy, Edelman, MCI Group, Comexposium, Grab, Pico, Kantar","client communication, A strong content portfolio, storytelling, adaptability across platforms, News writing/storytelling, research skills","Mediacorp internship programme, Canva/Adobe tutorials"
School of Engineering,Common Engineering Programme,"Foundational engineering concepts, Problem-based learning basics, Engineering mathematics, Basic electrical/mechanical principles, Technical drawing/CAD basics, Project coordination basics",Exploratory - leads into any SEG diploma,"ST Engineering, Changi Airport Group, Accenture, Flex, Siemens, ABB, PSA International, CapitaLand, JTC","Analytical thinking, Hands-on curiosity, Technical precision, Engineering fundamentals, Discipline under regulation, Project coordination",RP SEG course guide
School of Engineering,Diploma in Aerospace Engineering,"Aircraft maintenance, aerodynamics, avionics fundamentals","Aircraft Maintenance Technician, (Licensed Aircraft Engineer with further certification)","SIA Engineering Company, ST Engineering Aerospace, Pratt & Whitney, Rolls-Royce Singapore, Singapore Airlines, Changi Airport Group, CAAS, ST Engineering, JTC","Technical precision, engineering fundamentals, discipline under regulation, Communication, service mindset, precision under pressure","CAAS licensing information, SIAEC internship programme"
School of Engineering,Diploma in Aviation Management,"Airport operations, air traffic systems basics, aviation logistics","Airport Operations Executive, Ground Services Officer, ATC trainee","Changi Airport Group, Singapore Airlines, CAAS, SIA Engineering Company, ST Engineering Aerospace, Pratt & Whitney, Rolls-Royce Singapore, Maritime and Port Authority of Singapore, JTC","Technical precision, engineering fundamentals, discipline under regulation, analytical thinking, Attention to detail, service excellence","Changi Airport Group internship, CAAS scholarship information"
School of Engineering,Diploma in Business Process & Engineering Management,"Process improvement, project management, Lean/Six Sigma basics","Business Process Analyst, Project Coordinator","Accenture, DHL, ST Engineering, NCS, GovTech, Deloitte, KPMG, Kuehne+Nagel, Bosch","Analytical thinking, process discipline, problem-solving, client communication, adaptability, clear client communication",Lean Six Sigma Yellow Belt online courses
School of Engineering,Diploma in Defence & Security Management,"Security operations, risk management, defence systems fundamentals","Security Analyst, Operations Executive, Home Team roles","MINDEF, Home Team agencies, ST Engineering, Ensign InfoSecurity, Cyber Security Agency of Singapore, GovTech, ST Marine, NCS, Accenture","Discipline, Technical precision, engineering fundamentals, discipline under regulation, technical/engineering fundamentals, security awareness",MINDEF/HTX careers portal
School of Engineering,Diploma in Electrical & Electronic Engineering,"Circuit design, embedded systems, PCB design","Electronics Engineer, Test Engineer, Field Applications Engineer","ST Engineering, Flex, Micron, Infineon, Bosch, ABB, Siemens, Omron, Softing Singapore","troubleshooting, precision, Electrical/automation fundamentals, technical documentation, Technical precision, engineering fundamentals",Arduino/embedded systems courses on Coursera
School of Engineering,Diploma in Engineering,"Design, programming, Industrial IoT, project management","Design Engineer, Project Engineer","Softing Singapore, Siemens, BASF, ExxonMobil, Bosch, ABB, Omron, JTC, Flex","troubleshooting, precision, Electrical/automation fundamentals, technical documentation, analytical thinking, Technical testing/troubleshooting",SolidWorks/AutoCAD free tutorials
School of Engineering,Diploma in Mobility & Robotic Systems,"Robotics, automation, control systems","Robotics Technician, Automation Engineer","ST Engineering, Omron, ABB, JTC, Land Transport Authority, Bosch, Siemens, Seatrium, Flex","troubleshooting, project coordination, Electrical/automation fundamentals, technical documentation, Technical precision, engineering fundamentals","ROS official tutorials, Omron training resources"
School of Engineering,Diploma in Supply Chain Management,"Logistics, inventory management, procurement","Supply Chain Analyst, Logistics Executive","DHL, PSA International, Amazon, Kuehne+Nagel, JTC, Land Transport Authority, Grab, Shopee, NCS","process discipline, Operations/ERP familiarity, problem-solving under time pressure, Analytical thinking, ERP/SAP familiarity, an operations mindset","SAP Learning Hub, PSA internship programme"
School of Engineering,Diploma in Sustainable Built Environment,"Green building design, BIM, sustainability assessment","Sustainability Coordinator, BIM Technician, Facilities Executive","Surbana Jurong, CapitaLand, BCA, NEA, PUB, Housing & Development Board, Land Transport Authority, JTC, NParks","project coordination, regulatory awareness, Sustainability knowledge, analytical/technical skills, analytical skills, Sustainability/green building knowledge",BCA Green Mark short courses
School of Hospitality,Common Business Programme,"Business fundamentals, Accounting basics, Marketing basics, Hospitality service principles, Tourism industry basics, Event operations basics",Exploratory - leads into any SBZ or SOH diploma,"Singapore Tourism Board, Klook, Marina Bay Sands, Shangri-La, IHG Hotels & Resorts, MCI Group, Pico, Les Amis Group, Resorts World Sentosa","Service mindset, Communication, Curiosity about business, Guest service mindset, Multitasking under pressure, Teamwork",RP SBZ/SOH course guide
School of Hospitality,Diploma in Hospitality & Tourism Management,"Tourism operations, service management, event coordination","Travel Consultant, Tourism Officer, Guest Relations Executive","Singapore Tourism Board, Klook, Marina Bay Sands, Resorts World Sentosa, Shangri-La, IHG Hotels & Resorts, Marriott International, Changi Airport Group, MCI Group","Guest service mindset, teamwork, PMS software familiarity, Cultural awareness, communication, tourism industry knowledge","STB internship programme, Klook partner training"
School of Hospitality,Diploma in Hotel & Leisure Management,"Front office operations, F&B service, revenue management basics","Guest Service Associate, Hotel Management Trainee","Marina Bay Sands, Shangri-La, IHG Hotels & Resorts, Resorts World Sentosa, Marriott International, Singapore Tourism Board, Klook, Esplanade, Base Entertainment","Guest service mindset, teamwork, PMS software familiarity, Service excellence, resilience under pressure, hospitality operations knowledge","IHG internship programme, Opera PMS training resources"
School of Hospitality,Diploma in Events & Project Management,"Event planning, logistics coordination, stakeholder management","Events Executive, Project Coordinator","MCI Group, Pico, Comexposium, Marina Bay Sands, Resorts World Sentosa, Esplanade, Base Entertainment, The Ebenex Group, Singapore Tourism Board","client communication, organisation, Event logistics, organisation across multiple stakeholders, Event production coordination, organisation across timelines",MICE industry short courses (SACEOS)
School of Hospitality,Diploma in Restaurant & Culinary Management,"Culinary techniques, F&B operations, menu costing","Chef de Partie, F&B Supervisor","OUE Restaurants, Les Amis Group, BreadTalk Group, Marina Bay Sands, Shangri-La, Marriott International, Resorts World Sentosa, IHG Hotels & Resorts, Klook","teamwork, Service excellence, Guest service mindset, multitasking under pressure, PMS software familiarity, attention to detail",WSQ culinary certification courses
School of Infocomm,Common ICT Programme,"Foundational computing concepts, Problem-based learning basics, Programming fundamentals, Data structures basics, Networking basics, Cybersecurity basics",Exploratory - leads into any SOI diploma,"Grab, GovTech, Ensign InfoSecurity, Cyber Security Agency of Singapore, AWS, Microsoft, DBS Bank, NCS, Accenture","Logical thinking, Curiosity about tech, Coding fundamentals, Problem-solving, Data analysis, Cloud fundamentals",RP SOI course guide
School of Infocomm,Diploma in Applied AI & Analytics,"Python, machine learning, data analytics, data visualisation","Data Analyst, AI Engineer, Business Intelligence Analyst","Grab, GovTech, Shopee, DBS Bank, NCS, Accenture, Microsoft, AWS, NielsenIQ","problem-solving, Full-stack/mobile development, data analytics, fast execution in a fast-paced environment, Coding fundamentals, a public-service mindset","Kaggle, Google AI courses, DataCamp"
